measured time starting at queue size; seconds
5000000;0,36704914
4900000;0,40818622
4800000;0,42832114
4700000;0,46200782
4600000;0,45636446
4500000;0,51399052
4400000;0,55524606
4300000;0,55072478
4200000;0,5447065
4100000;0,55303594
4000000;0,56257014
3900000;0,56373988
3800000;0,58700092
3700000;0,61400372
3600000;0,6127326
3500000;0,600897
3400000;0,61379936
3300000;0,61462394
3200000;0,6208741
3100000;0,6311143
3000000;0,6426991
2900000;0,65798042
2800000;0,66421814
2700000;0,67631782
2600000;0,68235824
2500000;0,70342158
2400000;0,692789
2300000;0,7518434
2200000;0,74697192
2100000;0,7148222
2000000;0,71989418
1900000;0,72660804
1800000;0,73731806
1700000;0,72867972
1600000;0,75259716
1500000;0,75335048
1400000;0,74934266
1300000;0,75465238
1200000;0,77562664
1100000;0,77573318
1000000;0,7649939
900000;0,81410818
800000;0,77524338
700000;0,76410036
600000;0,76061418
500000;0,74527124
400000;0,73291196
300000;0,7062152
200000;0,61798762
100000;0,39150976
