measured time starting at queue size; seconds
0;0.0017783400000000002
100000;0.00174598
200000;0.00173438
300000;0.00180224
400000;0.00169056
500000;0.0017968599999999997
600000;0.0017439800000000002
700000;0.0018148
800000;0.0019665999999999998
900000;0.0018054199999999999
1000000;0.0018212199999999997
1100000;0.01105248
1200000;0.00228348
1300000;0.0017694999999999998
1400000;0.00176586
1500000;0.0018054199999999999
1600000;0.00176352
1700000;0.0018599599999999997
1800000;0.00228644
1900000;0.0017466200000000002
2000000;0.0017213800000000002
2100000;0.00180848
2200000;0.00179678
2300000;0.0017726999999999999
2400000;0.00176234
2500000;0.0017562599999999997
2600000;0.0018006
2700000;0.00260364
2800000;0.00176186
2900000;0.00179534
3000000;0.0020084
3100000;0.0020992199999999997
3200000;0.0018186600000000002
3300000;0.00176392
3400000;0.00181162
3500000;0.0018088199999999998
3600000;0.00175524
3700000;0.00176294
3800000;0.0017823
3900000;0.0018886
4000000;0.0017569399999999998
4100000;0.00536112
4200000;0.0018035600000000003
4300000;0.00183126
4400000;0.0018100999999999998
4500000;0.0017690400000000002
4600000;0.0017686400000000001
4700000;0.0018881199999999996
4800000;0.00192184
4900000;0.0018621199999999997
