measured time starting at queue size; seconds
0;0,00271624
100000;0,00262854
200000;0,00265122
300000;0,00243396
400000;0,00215928
500000;0,00252976
600000;0,00219866
700000;0,00220364
800000;0,00224802
900000;0,00211078
1000000;0,0022822
1100000;0,0024197
1200000;0,00698052
1300000;0,0018918
1400000;0,00213004
1500000;0,00208934
1600000;0,002267
1700000;0,00210014
1800000;0,00266748
1900000;0,00227286
2000000;0,00245542
2100000;0,00245496
2200000;0,00265878
2300000;0,0026736
2400000;0,00222324
2500000;0,00209492
2600000;0,0022611
2700000;0,00266124
2800000;0,0023144
2900000;0,00198954
3000000;0,00212044
3100000;0,00222646
3200000;0,00215064
3300000;0,00199486
3400000;0,0021381
3500000;0,0023146
3600000;0,00217806
3700000;0,00242906
3800000;0,02140416
3900000;0,00222348
4000000;0,00217436
4100000;0,00295188
4200000;0,00214054
4300000;0,00217272
4400000;0,0023042
4500000;0,00218878
4600000;0,00218724
4700000;0,00211676
4800000;0,00214868
4900000;0,00221044
