measured time starting at queue size; seconds
5000000;0.3624691
4900000;0.41187396
4800000;0.43823603999999994
4700000;0.44283808
4600000;0.49409674
4500000;0.49181318
4400000;0.48742774000000005
4300000;0.47895086000000003
4200000;0.5008794400000001
4100000;0.52771642
4000000;0.49310036
3900000;0.5224754
3800000;0.52453142
3700000;0.5166336
3600000;0.5414745200000001
3500000;0.57296322
3400000;0.57805172
3300000;0.58586456
3200000;0.63143382
3100000;0.6246986800000001
3000000;0.5619894999999999
2900000;0.57703138
2800000;0.61362036
2700000;0.58370148
2600000;0.5804877599999999
2500000;0.6048462
2400000;0.6020589199999999
2300000;0.57518704
2200000;0.5364947800000001
2100000;0.54475122
2000000;0.5888611600000001
1900000;0.62668586
1800000;0.60841696
1700000;0.62843826
1600000;0.6329037000000001
1500000;0.61203196
1400000;0.65625272
1300000;0.6257039799999999
1200000;0.61771194
1100000;0.63707436
1000000;0.63853112
900000;0.6680748599999999
800000;0.71146282
700000;0.6618709
600000;0.68727222
500000;0.67415024
400000;0.6828095
300000;0.6598647999999999
200000;0.56568922
100000;0.38628708
